name,latitude,longitude
banaue marker,16.911553,121.060724
tam an welcom,16.902499,121.053332
pugo amganad,16.895005,121.058449
bocoh amganad,16.886394,121.059343
piwong,16.843579,121.090399
pitawan,16.852971,121.075162
lagawe centro,16.7998,121.122159
kiangan junction,16.783425,121.120624
bolog kiangan,16.748735,121.14581
ifsu nayon,16.718893,121.172266
lamut centro,16.652538,121.216915
bagabag centro,16.606244,121.253267
bagabag junction,16.583841,121.249317
bascaran nv,16.535477,121.226028
solano centro,16.515083,121.178921
